clubID,Title,Latitude,Longitude,Address Line 1,City,Province,Postal Code,URL,CombinedAddress
157,Boys and Girls Club of Kingston & Area Inc.,44.239323,-76.484552,Robert Meek Community Youth Centre,Kingston,ON,K7K 3E1,http://www.bgckingston.ca/home.html,"Robert Meek Community Youth Centre, Kingston, K7K 3E1, ON"
158,Boys and Girls Club of Pembroke,45.829091,-77.144182,1144 Lea Street,Pembroke,ON,K8A 6Z4,http://www.boysandgirlsclubofpembroke.org,"1144 Lea Street, Pembroke, K8A 6Z4, ON"
159,Boys and Girls Clubs of Kawartha Lakes,44.349042,-78.733238,107 Lindsay Street South,Lindsay,ON,K9V 2M5,http://www.bgckl.com,"107 Lindsay Street South, Lindsay, K9V 2M5, ON"
160,Boys and Girls Club of Durham,43.896196,-78.845706,433 Eulalie Ave.,Oshawa,ON,L1H 2C6,http://www.bgcdurham.com/,"433 Eulalie Ave., Oshawa, L1H 2C6, ON"
161,Boys and Girls Club of Niagara,43.06914,-79.145044,8800 McLeod Road,Niagara Falls,ON,L2E 6S5,www.boysandgirlsclubniagara.org,"8800 McLeod Road, Niagara Falls, L2E 6S5, ON"
162,Boys and Girls Club of York Region,44.070991,-79.431925,c/o Social Enterprise of Canada,Newmarket,ON,L3Y 3E3,http://www.bgcyr.ca/,"c/o Social Enterprise of Canada, Newmarket, L3Y 3E3, ON"
163,Boys and Girls Clubs of North Simcoe,44.744028,-79.881806,527 Len Self Blvd,Midland,ON,L4R 5N6,http://www.bgcnorthsimcoe.com,"527 Len Self Blvd, Midland, L4R 5N6, ON"
164,Boys and Girls Club of Peel,43.667617,-79.749136,247 McMurchy Avenue South,Brampton,ON,L6Y 1Z4,http://www.bgcpeel.org,"247 McMurchy Avenue South, Brampton, L6Y 1Z4, ON"
165,Boys and Girls Clubs of Hamilton,43.248951,-79.810564,45 Ellis Avenue,Hamilton,ON,L8H 4L8,http://www.kboysandgirlsclub.com,"45 Ellis Avenue, Hamilton, L8H 4L8, ON"
166,Boys and Girls Club of East Scarborough,43.757376,-79.193332,100 Galloway Road,Toronto,ON,M1E 1W7,http://www.esbgc.org,"100 Galloway Road, Toronto, M1E 1W7, ON"
167,Boys and Girls Club of West Scarborough,43.701263,-79.284684,313 Pharmacy Avenue,Toronto,ON,M1L 3E7,http://www.bgcws.ca,"313 Pharmacy Avenue, Toronto, M1L 3E7, ON"
168,Eastview (Toronto) Boys and Girls Club,43.675052,-79.339836,86 Blake Street,Toronto,ON,M4J 3C9,http://www.eastviewcentre.com,"86 Blake Street, Toronto, M4J 3C9, ON"
169,Toronto Kiwanis Boys and Girls Clubs,43.664283,-79.362163,101 Spruce Street,Toronto,ON,M5A 2J3,http://www.believeinkids.ca,"101 Spruce Street, Toronto, M5A 2J3, ON"
170,St. Alban's Boys and Girls Club,43.671419,-79.415682,843 Palmerston Avenue,Toronto,ON,M6G 2R8,http://www.stalbansclub.ca,"843 Palmerston Avenue, Toronto, M6G 2R8, ON"
